CENTRO,AÑO,MES,INCIDENTE_POLICIAL,INCIDENTE_TRÁNSITO,INCIDENTE_SALUD,INCIDENTE_SERVICIOS_MUNICIPALES,INCIDENTE_BOMBEROS,INCIDENTE_GESTIÓN_DE_RIESGO,INCIDENTE_MILITAR,TOTAL_DE_INCIDENTES_RECEPTADOS,INCIDENTE_CLAVES_ROJAS,DE_LLAMADAS_MALINTENCIONADAS_O_INDEBIDAS,CANTIDAD_DE_TELEFONOS_ENVIADOS_A_SANCIÓN,DE_LLAMADAS_GENERADAS_POR_LOS_TELEFONOS_SANCIONADOS,DE_LLAMADAS_NORMALES,TOTAL_DE_LLAMADAS_RECIBIDAS
ESMERALDAS,2014,SEPTIEMBRE, 5.544 , 480 , 893 , 221 , 231 , 6 , 38 , 7.413 , 3.764 , 35.058 ,,, 8.341 , 56.806 
ESMERALDAS,2014,OCTUBRE, 5.535 , 491 , 819 , 257 , 251 , 14 , 54 , 7.421 , 3.887 , 43.399 ,,, 8.307 , 64.625 
ESMERALDAS,2014,NOVIEMBRE, 6.071 , 458 , 866 , 197 , 289 , 13 , 28 , 7.922 , 4.076 , 40.064 ,,, 8.896 , 61.712 
ESMERALDAS,2014,DICIEMBRE, 6.593 , 606 , 941 , 323 , 234 , 13 , 56 , 8.766 , 4.433 , 41.039 ,,, 9.873 , 64.145 
ESMERALDAS,2015,ENERO, 5.807 , 558 , 1.077 , 95 , 134 , 15 , 43 , 7.729 , 4.031 , 48.145 ,,, 8.680 , 70.485 
ESMERALDAS,2015,FEBRERO, 5.865 , 547 , 1.030 , 1 , 124 , 34 , 45 , 7.646 , 4.053 , 38.568 ,,, 8.612 , 61.188 
ESMERALDAS,2015,MARZO, 6.237 , 559 , 1.146 , 73 , 111 , 48 , 63 , 8.237 , 4.230 , 45.602 ,,, 9.159 , 68.860 
ESMERALDAS,2015,ABRIL, 5.145 , 434 , 1.176 , 47 , 119 , 27 , 260 , 7.208 , 3.709 , 40.550 ,,, 7.919 , 60.851 
ESMERALDAS,2015,MAYO, 5.471 , 511 , 968 , 62 , 100 , 23 , 358 , 7.493 , 3.896 , 38.712 ,,, 8.391 , 60.688 
ESMERALDAS,2015,JUNIO, 5.669 , 416 , 873 , 69 , 83 , 8 , 240 , 7.358 , 3.857 , 33.298 ,,, 8.293 , 53.605 
ESMERALDAS,2015,JULIO, 5.662 , 435 , 841 , 50 , 118 , 11 , 270 , 7.387 , 3.869 , 27.057 ,,, 7.387 , 44.703 
ESMERALDAS,2015,AGOSTO, 6.433 , 511 , 875 , 39 , 165 , 6 , 191 , 8.220 , 4.418 , 38.123 ,,, 8.987 , 60.271 
ESMERALDAS,2015,SEPTIEMBRE, 6.142 , 462 , 833 , 46 , 241 , 10 , 160 , 7.894 , 4.062 , 34.666 ,,, 8.665 , 55.289 
